sampleID,condition,tillage,depth,TN,TP,TK,Nitrate,Ammonia,AHN,AP,AK,pH,OM,OC
M.CK.a.1,CK-a,CK,0-10 cm,1.41,1.11,0.7,18.92,1.48,126,30.4,169,5.16,24.2,14.03778652
M.CK.b.1,CK-b,CK,10-20 cm,1.45,1.15,0.69,10.29,1.9,158,29.3,159,5.1,20.1,11.66248359
M.CK.c.1,CK-c,CK,20-30 cm,1.47,1.16,0.66,7.08,2.04,168.3,25.94,144,5.45,18.3,10.59294145
M.CK.a.2,CK-a,CK,0-10 cm,1.456,1.08,0.67,20.5,1.77,176.8,35.4,192,4.95,23.9,13.85225496
M.CK.b.2,CK-b,CK,10-20 cm,1.448,1.28,0.72,11.42,1.99,150.5,32.38,156,4.98,19.2,11.12560056
M.CK.c.2,CK-c,CK,20-30 cm,1.422,1.1,0.7,9.47,2,141.8,27.64,156,5.31,19.3,11.21478774
M.CK.a.3,CK-a,CK,0-10 cm,1.513,1.17,0.73,21.65,1.69,168,38.91,170,4.86,20.6,11.93250908
M.CK.b.3,CK-b,CK,10-20 cm,1.398,1.18,0.7,9.88,1.97,155.8,25.36,182,5.03,19,11.03653071
M.CK.c.3,CK-c,CK,20-30 cm,1.415,1.19,0.67,7.94,1.83,130,30.59,161,5.04,20.7,12.02275224
L.SG.a.1,WL-a,WL,0-10 cm,1.56,1.39,0.73,15.13,1.94,155,42.28,196,5.14,23.4,13.57483761
L.SG.b.1,WL-b,WL,10-20 cm,1.471,1.12,0.72,12.83,1.97,157.8,34.31,160,5.51,21.8,12.65773962
L.SG.c.1,WL-c,WL,20-30 cm,1.252,1.01,0.69,9.03,2,122.5,5.32,147,6.17,17.7,10.240182
L.SG.a.2,WL-a,WL,0-10 cm,1.607,1.47,0.69,9.25,1.8,165.5,50.34,209,5,24,13.94496207
L.SG.b.2,WL-b,WL,10-20 cm,1.416,1.14,0.73,7.34,1.92,148.8,32.28,172,5.16,21.4,12.38489819
L.SG.c.2,WL-c,WL,20-30 cm,1.257,1.11,0.7,9.68,2.06,120.8,7.82,170,6.21,16.9,9.80187264
L.SG.a.3,WL-a,WL,0-10 cm,1.584,1.32,0.7,10.6,1.49,155.8,49.59,201,4.9,22.5,13.02317084
L.SG.b.3,WL-b,WL,10-20 cm,1.48,1.17,0.75,9.53,2.05,154,35.1,165,5.63,21,12.20359055
L.SG.c.3,WL-c,WL,20-30 cm,1.24,1.04,0.71,7.73,1.75,124.3,8.53,161,5.82,20.1,11.66248359
L.MG.a.1,NT-a,NT,0-10 cm,1.85,1.36,0.8,21.94,5.11,171.5,46.17,196,4.99,26.1,15.12775661
L.MG.b.1,NT-b,NT,10-20 cm,1.48,1.4,0.84,13.43,1.74,159.5,18.06,141,5.63,21.7,12.56667515
L.MG.c.1,NT-c,NT,20-30 cm,1.38,1.25,0.75,13.64,1.8,103.3,4.64,159,6.12,15.7,9.106678886
L.MG.a.2,NT-a,NT,0-10 cm,1.73,1.47,0.77,21.91,2.05,164.5,43.91,170,5.36,29.3,16.97354058
L.MG.b.2,NT-b,NT,10-20 cm,1.33,1.31,0.73,13.52,1.78,157.5,18.82,156,5.56,20.6,11.93250908
L.MG.c.2,NT-c,NT,20-30 cm,1.37,1.23,0.73,13.71,1.89,101.5,4.64,163,6.29,17.5,10.15228547
L.MG.a.3,NT-a,NT,0-10 cm,1.75,1.33,0.73,24.76,4.76,177.8,40.22,191,5.07,24.2,14.02150527
L.MG.b.3,NT-b,NT,10-20 cm,1.39,1.34,0.78,11.2,2.84,166.3,22.16,161,5.5,18.3,10.59294145
L.MG.c.3,NT-c,NT,20-30 cm,1.32,1.21,0.72,13.87,2.22,106.8,5.37,161,6.26,14.8,8.590211482
FCLG.a.1,PT-a,PT,0-10 cm,1.36,1.17,0.76,7.39,1.83,134,20.2,189,5.28,23.7,13.75966518
FCLG.b.1,PT-b,PT,10-20 cm,1.45,1.24,0.71,10.18,2.02,150.5,27.3,178,5.22,24.2,14.02583258
FCLG.c.1,PT-c,PT,20-30 cm,1.48,1.21,0.75,18.29,1.21,157.5,21.76,197,5.36,22.5,13.02317084
FCLG.a.2,PT-a,PT,0-10 cm,1.43,1.17,0.71,15.83,1.9,126,16,173,5.44,22.5,13.02317084
FCLG.b.2,PT-b,PT,10-20 cm,1.44,1.23,0.72,9.68,1.94,157.5,27.19,163,5.33,27,15.63375375
FCLG.c.2,PT-c,PT,20-30 cm,1.45,1.26,0.78,10.27,2.02,152.5,19.7,186,5.52,21.7,12.56667515
FCLG.a.3,PT-a,PT,0-10 cm,1.39,1.19,0.7,8.71,2.05,133,19.2,201,5.34,23.9,13.85225496
FCLG.b.3,PT-b,PT,10-20 cm,1.42,1.2,0.7,11.76,2.18,156.5,25.21,188,5.45,24.5,14.2237874
FCLG.c.3,PT-c,PT,20-30 cm,1.4,1.22,0.75,14.94,1.36,150.5,19.45,183,5.59,22.9,13.29847623
